payslip_id,payroll_run_id,employee_id,gross_pay,tax,deductions,net_pay,processed_date
1,101,1,250000,50000,10000,190000,2025-02-01 09:00:00
2,101,2,150000,30000,8000,112000,2025-02-01 09:00:00
3,101,3,90000,13500,5000,71500,2025-02-01 09:00:00
4,101,4,85000,12750,5000,67250,2025-02-01 09:00:00
5,101,5,140000,28000,7000,105000,2025-02-01 09:00:00
6,101,6,95000,14250,5000,75750,2025-02-01 09:00:00
7,101,7,80000,12000,4000,60000,2025-02-01 09:00:00
8,101,8,110000,22000,6000,82000,2025-02-01 09:00:00
9,101,10,130000,26000,7000,97000,2025-02-01 09:00:00
10,101,12,70000,10500,3000,56500,2025-02-01 09:00:00
11,102,1,250000,50000,10000,190000,2025-03-01 09:00:00
12,102,2,150000,30000,8000,112000,2025-03-01 09:00:00
13,102,3,92000,13800,5000,73200,2025-03-01 09:00:00
14,102,5,140000,28000,7000,105000,2025-03-01 09:00:00
15,102,6,95000,14250,5000,75750,2025-03-01 09:00:00
16,102,8,110000,22000,6000,82000,2025-03-01 09:00:00
17,102,10,130000,26000,7000,97000,2025-03-01 09:00:00
18,102,11,88000,13200,4000,70800,2025-03-01 09:00:00
19,103,1,250000,50000,10000,190000,2025-04-01 09:00:00
20,103,2,155000,31000,8000,116000,2025-04-01 09:00:00
21,103,3,92000,13800,5000,73200,2025-04-01 09:00:00
22,103,5,140000,28000,7000,105000,2025-04-01 09:00:00
23,103,8,110000,22000,6000,82000,2025-04-01 09:00:00
24,103,9,60000,9000,3000,48000,2025-04-01 09:00:00
25,103,13,120000,24000,6500,89500,2025-04-01 09:00:00
26,103,14,78000,11700,4000,62300,2025-04-01 09:00:00
